Evento,Fecha,Latitud ,Longitud ,Tiempos de Trayectoria                                            
,,"13,6","-100,8",1115
,,"13,4","-100,7",1145
56,11/ago,"25,1","-90,5",0915
,,"25,3","-90,3",1015
,,"25,3","-90,2",1115
,,"25,3","-90,5",1215
,,"25,8",-90,1315
,,"26,0",-90,1415
,,"26,2","-89,7",1515
57,27/ago,"25,0","-106,9",0245
,,"25,1","-107,2",0345
,,"24,8",-107,0445
,,"24,4","-106,7",0545
,,"24,0","-106,8",0645
,,"23,7","-106,6",0745
,,"23,3","-106,4",0845
,,"22,8","-106,3",0945
,,"22,6","-106,3",1045
58,28/ago,"22,3","-105,8",1045
,,"22,3","-106,1",1145
,,"22,1","-106,2",1245
,,"21,9","-106,4",1345
,,"21,9","-106,6",1445
,,"21,7","-106,8",1545
59,29/ago,"27,9","-108,7",0015
,,"27,5","-108,9",0115
,,"27,5","-109,3",0215
,,"27,5","-109,4",0315
,,"27,3","-109,6",0415
,,"26,9","109,8",0515
,,"26,4","-110,1",0545
60,29/ago,"17,6","-93,8",0645
,,"17,9","-94,4",0745
,,"17,9","-94,6",0845
,,"17,5","-94,8",0945
,,"17,4",-95,1015
61,07-08/sep,"26,7","-108,7",2245
,,"26,8","-108,9",2345
,,"26,9","-109,3",0045
,,"26,9","-109,5",0145
,,"27,8","-109,9",0245
,,"28,1","-110,2",0345
62,09/sep,"22,1","-105,8",0645
,,"22,8","-106,6",0745
,,"23,0","-106,8",0845
,,"23,3","-107,3",0945
,,"23,7","-107,7",1045
,,"23,8",-108,1145
,,"23,9","-108,2",1245
,,"24,1","-108,8",1345
,,"24,2","-108,9",1415
